Timestamp	Filename	Error	Message
2018-06-12 11:31:53.330 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:53.331 -0400	Button Click 7	0	script steps imported : 1
2018-06-12 11:31:53.332 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:56.143 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:56.144 -0400	Button Click 7	0	script steps imported : 1
2018-06-12 11:31:56.144 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:31:59.471 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:31:59.472 -0400	Button Click 8	0	script steps imported : 1
2018-06-12 11:31:59.473 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:32:01.913 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:32:01.914 -0400	Button Click 8	0	script steps imported : 1
2018-06-12 11:32:01.915 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:32:05.704 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:32:05.705 -0400	Button Click 9	0	script steps imported : 1
2018-06-12 11:32:05.705 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:32:08.328 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:32:08.329 -0400	Button Click 9	0	script steps imported : 1
2018-06-12 11:32:08.329 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:33:55.612 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:33:55.613 -0400	newgame	0	script steps imported : 1
2018-06-12 11:33:55.613 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:01.990 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:01.991 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:01.991 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:20.745 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:20.746 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:20.746 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:24.069 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:24.070 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:24.070 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:26.786 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:26.788 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:26.788 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:29.364 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:29.365 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:29.365 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:32.676 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:32.677 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:32.678 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:35.754 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:35.756 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:35.757 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 11:34:39.837 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 11:34:39.838 -0400	newgame	0	script steps imported : 1
2018-06-12 11:34:39.838 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:11:38.794 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:11:39.061 -0400	Winner Check	3703	Unknown Error: <unknown>.
2018-06-12 12:11:39.061 -0400	Winner Check	0	script steps imported : 1
2018-06-12 12:11:39.062 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:20:17.459 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:20:17.461 -0400	Button Click	0	script steps imported : 1
2018-06-12 12:20:17.462 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:20:22.516 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:20:22.518 -0400	Button Click 3	0	script steps imported : 1
2018-06-12 12:20:22.518 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:30:02.361 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:30:02.362 -0400	Button Click	0	script steps imported : 1
2018-06-12 12:30:02.416 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:30:09.336 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:30:09.337 -0400	Button Click 2	0	script steps imported : 1
2018-06-12 12:30:09.338 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:30:13.904 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:30:13.907 -0400	Button Click 3	0	script steps imported : 1
2018-06-12 12:30:13.907 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:32:11.409 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:32:11.412 -0400	Button Click	0	script steps imported : 1
2018-06-12 12:32:11.413 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:32:13.596 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:32:13.597 -0400	Button Click 2	0	script steps imported : 1
2018-06-12 12:32:13.597 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:32:15.673 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:32:15.674 -0400	Button Click 3	0	script steps imported : 1
2018-06-12 12:32:15.674 -0400	TicTacToe.fmp12	0	Import completed
2018-06-12 12:34:37.074 -0400	TicTacToe.fmp12	0	Import of script steps from clipboard started
2018-06-12 12:34:37.077 -0400	Winner Check Top Row	0	script steps imported : 1
2018-06-12 12:34:37.077 -0400	TicTacToe.fmp12	0	Import completed
